,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[44,45]","[10.359730,11.697787]","[9.785488,11.474179]","[10.047151,10.911255]","[9.825481,11.229967]","[9.728182,11.386370]","[9.574313,11.314340]","[8.783620,11.833670]","[8.418070,12.365344]","[8.889542,12.684198]","[9.216597,13.380892]","[9.578839,13.591272]","[9.902606,13.004340]"
"[45,46]","[10.299710,11.719034]","[9.776123,11.486261]","[10.079156,10.910290]","[9.787975,11.296373]","[9.785635,11.297837]","[9.460063,11.277517]","[8.738447,11.589623]","[8.514199,11.888662]","[8.882044,12.309338]","[9.168035,13.125600]","[9.305330,13.670753]","[9.773030,13.033361]"
"[46,47]","[10.296098,11.695025]","[9.813149,11.436249]","[10.072876,10.909976]","[9.871323,11.186637]","[9.738361,11.270413]","[9.429106,11.178489]","[8.846824,11.320038]","[8.677712,11.572780]","[8.834482,12.242472]","[9.161250,13.058607]","[9.117420,13.809717]","[9.726198,13.042201]"
"[47,48]","[10.278068,11.724566]","[9.782000,11.480580]","[10.057517,10.888943]","[9.792256,11.179034]","[9.717318,11.187559]","[9.268958,11.238217]","[8.723877,11.328560]","[8.693184,11.394862]","[8.805825,12.056479]","[9.117666,12.882395]","[9.175748,13.595171]","[9.651206,13.059275]"
"[48,49]","[10.246090,11.705492]","[9.793838,11.484873]","[10.056227,10.919468]","[9.729378,11.222890]","[9.676174,11.136574]","[9.223000,11.141021]","[8.689889,11.207893]","[8.694472,11.246445]","[8.712231,12.000136]","[9.044621,12.789344]","[9.142251,13.460969]","[9.511204,13.072309]"
"[49,50]","[10.205133,11.703352]","[9.782811,11.493319]","[10.041713,10.909420]","[9.702129,11.190012]","[9.652559,11.108632]","[9.272813,11.095223]","[8.709953,11.236504]","[8.361034,11.602153]","[8.833600,11.805478]","[8.979235,12.685354]","[9.094162,13.317002]","[9.399397,13.054029]"
"[50,51]","[10.179391,11.722687]","[9.809987,11.485047]","[10.030957,10.906444]","[9.688482,11.149108]","[9.630369,11.068134]","[9.240751,11.080239]","[8.664218,11.229405]","[8.363331,11.491423]","[8.773860,11.677358]","[8.965466,12.470310]","[8.999907,13.220868]","[9.287417,13.072039]"
"[51,52]","[10.120518,11.728531]","[9.784543,11.487055]","[10.033418,10.891341]","[9.659353,11.151003]","[9.603794,11.032978]","[9.194249,11.025113]","[8.616760,11.144323]","[8.438683,11.268316]","[8.738240,11.564520]","[8.914971,12.382649]","[8.969399,13.133339]","[9.197999,13.073227]"
"[52,53]","[10.075121,11.739485]","[9.787991,11.496051]","[10.038041,10.893939]","[9.630358,11.144360]","[9.563783,10.992352]","[9.150376,10.964199]","[8.617927,11.028460]","[8.472533,11.102749]","[8.642942,11.497596]","[8.924540,12.188123]","[8.891316,13.041598]","[9.071370,13.089910]"
"[53,54]","[10.048411,11.733686]","[9.786915,11.498382]","[10.023976,10.899414]","[9.594817,11.134287]","[9.530851,10.954513]","[9.125107,10.927485]","[8.661157,10.949835]","[8.502105,11.045920]","[8.650532,11.434918]","[8.849622,12.165399]","[8.853755,12.964773]","[9.031286,13.044496]"
