,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[47,48]","[31.438882,33.473712]","[32.493138,32.713330]","[32.318855,33.129460]","[32.569277,32.761507]","[31.615574,33.307703]","[32.039205,32.576246]","[29.966218,34.766120]","[32.252895,32.951812]","[32.104508,33.521014]","[32.314382,33.325092]","[31.866626,33.414114]","[30.777243,34.148660]"
"[48,49]","[31.603841,33.386128]","[32.514805,32.743230]","[32.364289,33.102673]","[32.559572,32.764616]","[31.482692,33.425157]","[32.021353,32.584613]","[29.778781,34.957229]","[32.253139,32.970112]","[32.083151,33.577523]","[32.360147,33.334344]","[31.932693,33.422827]","[30.812605,34.198448]"
"[49,50]","[31.623631,33.347127]","[32.501627,32.738804]","[32.374967,33.138439]","[32.591160,32.803257]","[31.486904,33.399474]","[31.918626,32.499950]","[29.036729,35.401754]","[32.090084,32.879647]","[31.994727,33.582089]","[32.406307,33.368639]","[31.999625,33.482439]","[30.799812,34.269993]"
"[50,51]","[31.661738,33.349345]","[32.508841,32.743407]","[32.363993,33.128944]","[32.575602,32.799295]","[31.486345,33.427470]","[31.961864,32.549200]","[29.453109,35.115212]","[32.117607,32.968577]","[32.087819,33.560249]","[32.432618,33.377037]","[32.033669,33.478039]","[30.866387,34.245499]"
"[51,52]","[31.665223,33.387114]","[32.512084,32.748367]","[32.341843,33.110826]","[32.548956,32.787798]","[31.484303,33.469574]","[31.998667,32.658811]","[29.868497,34.899210]","[32.206587,33.038331]","[32.084733,33.625662]","[32.420394,33.378287]","[32.024201,33.472031]","[30.851430,34.283507]"
"[52,53]","[31.656959,33.375736]","[32.507448,32.749297]","[32.352382,33.120733]","[32.555089,32.807972]","[31.508078,33.453402]","[31.977132,32.665018]","[29.625220,35.126181]","[32.208543,33.046006]","[32.121056,33.629550]","[32.452490,33.393395]","[32.054529,33.465736]","[30.778607,34.348564]"
"[53,54]","[31.656693,33.396705]","[32.506760,32.748263]","[32.345251,33.120545]","[32.549478,32.819751]","[31.529103,33.457378]","[32.038396,32.637013]","[29.652974,35.126401]","[32.198489,33.076746]","[32.138184,33.636645]","[32.459027,33.425250]","[32.089329,33.480209]","[30.829483,34.340761]"
"[54,55]","[31.646422,33.422623]","[32.502573,32.747191]","[32.338578,33.119702]","[32.538465,32.842054]","[31.515337,33.503680]","[32.025101,32.685438]","[29.619742,35.176202]","[32.184308,33.086338]","[32.193152,33.574398]","[32.488918,33.406391]","[32.126955,33.474435]","[30.811455,34.392992]"
"[55,56]","[31.656234,33.454289]","[32.506866,32.756680]","[32.335973,33.114698]","[32.539034,32.826842]","[31.541697,33.471568]","[32.045302,32.679286]","[29.669593,35.163483]","[32.203155,33.125123]","[32.179737,33.660500]","[32.521877,33.454015]","[32.148321,33.531958]","[30.885295,34.384578]"
"[56,57]","[31.689872,33.475294]","[32.505289,32.772777]","[32.307547,33.101554]","[32.504995,32.801776]","[31.382676,33.614997]","[32.040347,32.739853]","[29.838181,35.090827]","[32.191801,33.213247]","[32.234165,33.631033]","[32.521608,33.448165]","[32.142636,33.547293]","[30.948000,34.368219]"
